Fichier,Champ / identifiant,Type,Référencé depuis entrée principale,Obligatoire déclaré,Minimum,Maximum,Pas,Longueur maximale,Essai automatisé spécifique de ce lot,Recette navigateur,Scénarios préparés
app-core.html,nm,input,Oui,Non / validation programmée possible,,,,80,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,em,email,Oui,Oui,,,,254,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; format invalide, espaces, URL non HTTPS le cas échéant"
app-core.html,pw,password,Oui,Oui,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,hpNewPassword,password,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,hpConfirmPassword,password,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,hn,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,pname,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,ptype,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
app-core.html,pcity,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,ppostal,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,pyear,number,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
app-core.html,poolSize,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
app-core.html,poolVol,number,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
app-core.html,poolTreat,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
app-core.html,spaSize,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
app-core.html,spaVol,number,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; 0, négatif, cents, virgule/point, très grand montant"
app-core.html,spaTreat,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
app-core.html,tt,input,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire"
app-core.html,td,date,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; date passée/future, fin de mois, 29 février"
app-core.html,ie,email,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; format invalide, espaces, URL non HTTPS le cas échéant"
app-core.html,ip,select,Oui,Non / validation programmée possible,,,,,Voir les suites de parcours du rapport; pas de validation exhaustive champ par champ,À terminer,"Valeur valide, relecture après sauvegarde, modification, annulation, reconnexion; vide selon caractère obligatoire; chaque option, retour au choix précédent"
